,종목코드,코스피 일일변동 평균,코스피 샤프지수
128,096770,0.4523862843660949,41.108255046770466
129,096775,0.4742569669683008,33.65774835439901
130,001510,0.2901574050755217,19.501368897077064
131,001515,0.5569742864070671,22.942754367257475
132,285130,0.5661473556412232,40.40331082990808
133,28513K,0.7710679296405032,44.05875226707154
134,017670,0.1960575794043944,30.43963935379018
135,000660,0.2170015423348241,28.45674726266286
136,064960,0.3870498479257657,34.91017362565359
137,100840,0.1310536658162468,21.178234567304067
138,003570,0.1409167879418773,18.96484062931143
139,036530,0.16087202175781,26.53052255229612
140,005610,0.0904089342669026,8.962901919999583
141,011810,0.1768994279168718,5.829373384656646
142,077970,0.3146711659993758,22.13357475475542
143,071970,0.4938827603710779,32.68741991812037
144,084870,0.2495732731680454,12.021404491191987
145,002710,0.5925413174977915,43.14270435199955
